Nom productor,Núm. acreditació,Persona jurídica,Persona física,NIF,Adreça,Codi postal,Municipi,Comarca,Productes,Grups Productes,Venda directa,Venda circuit curt,Telèfon,Correu electrònic,Marca Comercial
"AIXENDRI CHUST, LIDIA",VP/P/0244/2013,,X,,,43510,TORTOSA,BAIX EBRE,"OLIVES, AMETLLES, GARROFES, CLEMENTINES, TARONGES","CÍTRICS, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,
"AIXENDRI DOMENECH, M. JESUS",VP/P/2507/2017,,X,,,43570,SANTA BÀRBARA,MONTSIÀ,"Olis, OLIVES",OLIVERAR,Venda directa,Venda circuit curt,,,ÀNIMA ESSENCIES
"AIXUT CAVERO, JOSE MANUEL",VP/P/1379/2014,,X,,,25001,LLEIDA,SEGRIÀ,"PRESSECS, NECTARINES, ALBERCOCS, PERES, POMES, CARABASSA, TOMÀQUET, CAQUI","ALTRES PRODUCTES, FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES",Venda directa,Venda circuit curt,,,
"ALABALL CONDEMINAS, JOSE",VP/P/0710/2013,,X,,,8849,SANT CLIMENT DE LLOBREGAT,BAIX LLOBREGAT,"Plantes aromàtiques i infusions, OLIVERES, CIRERERS, ESPECIES AROMATIQUES LLENYOSES, ALTRES FRUITERS DE LLAVOR","ALTRES USOS, FRUITA DOLÇA, OLIVERAR",,Venda circuit curt,,,MONT MEL
"ALABALL JIMÉNEZ, ENRIC",VP/P/1313/2013,,X,,,8849,SANT CLIMENT DE LLOBREGAT,BAIX LLOBREGAT,"PATATA, OLIVES, CIRERES, ESPECIES AROMATIQUES LLENYOSES, CRÈIXENS, FIGUES , ALFÀBREGA, MENTA","ALTRES PRODUCTES, FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",,Venda circuit curt,,,MEL GERMANS SANCHO
"ALABAU ROCA, MARIA",VP/P/3075/2019,,X,,,17473,VENTALLÓ,ALT EMPORDÀ,"BLAT DE MORO, ORDI, POMES, ALBERGÍNIA, TOMÀQUET","CEREALS D'ESTIU, CEREALS, FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES",Venda directa,,,,
"ALAVEDRA ABARCA, JOSEP MARIA",VP/P/3162/2019,,X,,,8029,BARCELONA,BARCELONÈS,"OLIVES, CEBES, CALÇOTS, PORROS I ALLS, CARXOFA, CARABASSA","HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,
"ALBAREDA MARTIN, ANNA MARIA",VP/P/2784/2017,,X,,,8330,PREMIÀ DE MAR,MARESME,HORTA,HORTÍCOLES,Venda directa,,,,
"ALBERT DOMINGO, MÒNICA",VP/P/0336/2013,,X,,,43715,QUEROL,ALT CAMP,"ORDI, PATATA, OLIVES, RAÏM VI, PERES, POMES, PRUNES, NOUS, HORTA","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, VINYA",Venda directa,,,,
"ALBESA BONAVILA, MARIA LUISA",VP/P/1256/2013,,X,,,43591,ALDOVER,BAIX EBRE,"OLIVES, GARROFES, TARONGES, MANDARINES","CÍTRICS, FRUITS DE CLOSCA, OLIVERAR",Venda directa,,,,
"ALCACER CERVERA, CARLOS",VP/P/1018/2013,,X,,,8391,TIANA,MARESME,"Vins, caves i vinagres, VINYES",VINYA,Venda directa,Venda circuit curt,,,
"ALCARRAS, COOPERATIVA DEL CAMP, SCCL",VP/AP/0124/2018,X,,F25004045,"Ctra CRTA. VALLMANYA, KM1",25180,ALCARRÀS,SEGRIÀ,"Altres productes elaborats, POMES, PERES, CODONY, FIGUES, NECTARINES, PRESSECS, CIRERES, PRUNES, OLIVES, ALBERCOCS, MAGRANES","FRUITA DOLÇA, OLIVERAR",Venda directa,Venda circuit curt,973790169,hribes@fruistponent.com,
"ALCOVERRO FOSCH, MA. FONTCALDA",VP/P/2965/2018,,X,,,43593,PAÜLS,BAIX EBRE,"Vins, caves i vinagres, OLIVES, RAÏM, AMETLLES, CIRERES","FRUITA DOLÇA, FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,,,,EL TEU PAGÈS
"ALDOMA CERQUEDA, LAIA",VP/P/2973/2018,,X,,,25750,TORÀ,SEGARRA,"PATATA, POMES, TÒFONA","ALTRES PRODUCTES, FRUITA DOLÇA, HORTÍCOLES",Venda directa,Venda circuit curt,,,LA DATZIRA
"ALDRUFEU ASSOCIATS, SCP",VP/P/2190/2016,X,,J58370644,C casa de camp 59,8340,VILASSAR DE MAR,MARESME,"Plantes aromàtiques, espècies i infusions, CIVADA, ESPECIES AROMÀTIQUES HERBÀCIES","ALTRES PRODUCTES, CEREALS",Venda directa,,607240160,aldrufeu@aldrufeu-associats.com,
"ALEGRET MASIP, JORDI",VP/P/1558/2014,,X,,,43817,PONT D'ARMENTERA,ALT CAMP,"Olis, BLAT TOU, ORDI, OLIVES, RAÏM VI, AMETLLES, GARROFES, TOMÀQUET","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, VINYA",Venda directa,,,,APROMI PLANTERS
"ALEGRIA SEIJAS, ESTHER",VP/P/1022/2013,,X,,,43425,FORÈS,CONCA DE BARBERÀ,"BLAT TOU, ORDI, CIVADA, OLIVES, AMETLLES, NOUS, CEBA, CALÇOT, PORRO I ALL, HORTA, PÈSOLS","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, PROTEAGINOSES",Venda directa,,,,AULINA
"ALELLA VINICOLA, SL",VP/P/2044/2016,X,,B61710356,Av Àngel Guimerà 62,8328,ALELLA,MARESME,"Vins, caves i vinagres, RAÏM VI",VINYA,Venda directa,Venda circuit curt,935403842,administracion@alellavinicola.com,MAS AURÓ
"ALEMANY DURAN, JOAN",VP/P/1377/2014,,X,,,8775,TORRELAVIT,ALT PENEDÈS,"Olis, OLIVES, RAÏM, PRESSECS, ALBERCOCS, PERES, POMES, CIRERES, PRUNES, TOMÀQUET","FRUITA DOLÇA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,,,AURORA DEL CAMP
"ALEÑÀ VILARÓ, ALBERT",VP/P/1841/2015,,X,,,8389,PALAFOLLS,MARESME,Horta,HORTÍCOLES,,Venda circuit curt,,,AVÍCOLA GIRONÈS
"ALEU AIXALA, JAUME MIQUEL",VP/P/2791/2018,,X,,,43792,TORRE DE L'ESPANYOL,RIBERA D'EBRE,"OLIVES, AMETLLES, PRESSECS, NECTARINES, ALBERCOCS, CIRERES, ENCIAM","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,,,,AVÍCOLA EL COLOMER
"ALEU ARAGONES, ROGER",VP/P/0820/2013,,X,,,43372,BISBAL DE FALSET,PRIORAT,"OLIVES, AMETLLES, POMES, CIRERES, NOUS, PISTATXER O FESTUC, HORTA","FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,OUS DE RIALB
"ALFEREZ PRIM, VENTURA",VP/P/3214/2019,,X,,,25170,TORRES DE SEGRE,SEGRIÀ,"ORDI, PRESSECS, NECTARINES, PERES, FIGUES","CEREALS, FRUITA DOLÇA",Venda directa,,,,GRANJA SANT JORDI
ALGUAIRA SCP,VP/P/0466/2013,X,,J25708959,C/ TOSSAL DEL COMU 5,25527,VALL DE BOÍ,ALTA RIBAGORÇA,"Carn, embotits i derivats carnis de boví, HORTA",HORTÍCOLES,Venda directa,Venda circuit curt,660154911,alguairascp@hotmail.es,
"ALGUERO MONTESO, JUAN JOSE",VP/P/2392/2016,,X,,,43897,TORTOSA,BAIX EBRE,"Altres productes elaborats, ORDI, TARONGES, MANDARINES, PÈSOLS","CEREALS, CÍTRICS, PROTEAGINOSES",Venda directa,,,,CAN BAILEN
"ALGUERO-MONTESO, SL",VP/P/1654/2014,X,,B43203728,C SANT LLUIS 1 1 1,43897,TORTOSA,BAIX EBRE,"Altres productes elaborats, Carn, embotits i derivats carnis de boví",,,Venda circuit curt,629809595,algueromonteso@gmail.com,CAN ABELLA
"ALIFONSO MONTESO, NOEMI",VP/P/2921/2018,,X,,,43896,ALDEA,BAIX EBRE,"Olis, ARRÒS, OLIVES, AMETLLES, GARROFES, CEBES, CALÇOTS, PORROS I ALLS, CARXOFA, TARONGES","ARRÒS, CÍTRICS, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",Venda directa,Venda circuit curt,,,BALDO
"ALINE, SCP",VP/P/1725/2014,X,,E25547845,Av LLEIDA,25126,TORREFARRERA,SEGRIÀ,"Ous de gallina, Conserves vegetals, sucs, melmelades, Horta","ALTRES USOS, HORTÍCOLES",Venda directa,,639610325,aline_29061999@yahoo.es,VILABANUS
ALKIMIA PRIORAT SL,VP/P/2822/2018,X,,B66439878,C/ RAMBLA PRIM 248,8020,BARCELONA,BARCELONÈS,"Vins, caves i vinagres, OLIVES, RAÏM VI, AMETLLES, HORTA, AVELLANES","FRUITS DE CLOSCA, HORTÍCOLES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,669486715,info@alkimiapriorat.com,
"ALMODOVAR SALVAT, DAVID",VP/P/2418/2016,,X,,,22474,MONTANUY,,MADUIXA,HORTÍCOLES,Venda directa,Venda circuit curt,,,
"ALMUSTERENC,SL",VP/P/1868/2015,X,,B55651632,C/ SANT JOAN 38,43140,POBLA DE MAFUMET,TARRAGONÈS,"OLIVES, NOUS, MAGRANES","FRUITA DOLÇA, FRUITS DE CLOSCA, OLIVERAR",Venda directa,,646864661,teresagasullgo@gamil.com,
"ALOFRA BOADA, MARIA CARME",VP/P/2799/2018,,X,,,8389,PALAFOLLS,MARESME,HORTA,HORTÍCOLES,Venda directa,,,,PATATA ECOLOGICA DE CERDANYA
"ALONSO BOFARULL, MARIA DE LA LUZ",VP/P/0997/2013,,X,,,8503,GURB,OSONA,"BLAT TOU, PATATA, PEBROT, CEBES, CALÇOTS, PORROS I ALLS, COL I COLIFLOR, ALBERGÍNIA, CARBASSÓ, COGOMBRE, BLEDA, PASTANAGA, ESPINACS, CARABASSA, TOMÀQUET, ESPARRECS, PÈSOLS, MONGETA , FAVES I FAVONS","CEREALS, HORTÍCOLES, LLEGUMINOSES, NO ADMISSIBLES, OLEAGINOSES, PROTEAGINOSES",Venda directa,,,,BIOAGRICULTURA LA COMA
"ALONSO MELON, OMAR",VP/P/2780/2017,,X,,,43400,MONTBLANC,CONCA DE BARBERÀ,"BLAT DUR, SÈGOL, OLIVES, AMETLLES, CEBA, CALÇOT, PORRO I ALL, CIGRONS , LLENTIES","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES, OLIVERAR",Venda directa,,,,TARONGES ECOLÒGIQUES ANDREU
"ALSEDA SAPERAS, MONTSERRAT",VP/P/1484/2014,,X,,,25351,TÀRREGA,URGELL,"Mel, BLAT TOU, ORDI, OLIVES, AMETLLES","CEREALS, FRUITS DE CLOSCA, OLIVERAR",Venda directa,,,,
"ALSINA CUSCO, PERE JOAN",VP/P/0668/2013,,X,,,8100,MOLLET DEL VALLÈS,VALLÈS ORIENTAL,"BLAT TOU, COGOMBRE, CARABASSA, TOMÀQUET, CIGRONS , LLENTIES , MONGETA","CEREALS, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,"BIOPIRINEUS , SCP"
"ALSINA MADRENAS, ROSER",VP/P/1440/2014,,X,,,17121,CORÇÀ,BAIX EMPORDÀ,"Ous de gallina, BLAT TOU, BLAT DE MORO, ORDI, TRITICALE, FAVES I FAVONS , OLIVES","CEREALS D'ESTIU, CEREALS, NO ADMISSIBLES, OLEAGINOSES, OLIVERAR, PROTEAGINOSES",Venda directa,,,,
"ALTARRIBA-ECO, SCP",VP/P/0631/2013,X,,J65982803,"C SALT DEL COLOM, S/N",8619,ESPUNYOLA,BERGUEDÀ,"Altres productes elaborats, Carn, embotits i derivats carnis de boví, ORDI, MILL, TRITICALE",CEREALS,Venda directa,,617375876,pepdelsalt@gmail.com,BIORICA
"ALTIMIRA JORDANA, MARIANO",VP/P/1998/2016,,X,,,8253,SANT SALVADOR DE GUARDIOLA,BAGES,"ORDI, CIVADA",CEREALS,Venda directa,Venda circuit curt,,,FORMATGE BAUMA
"ALTIMIRAS CARRERA, JOSE",VP/P/0873/2013,,X,,,17520,PUIGCERDÀ,CERDANYA,"Carn, embotits i derivats carnis de boví",,,Venda circuit curt,,,
"ALVARADO CROSAS, BENJAMIN",VP/P/2793/2018,,X,,,8389,PALAFOLLS,MARESME,"ESPECIES AROMÀTIQUES HERBÀCIES, PATATA, CEBA, CALÇOT, PORRO I ALL, CARBASSÓ, CARABASSA, HORTA, TOMÀQUET, MONGETA","ALTRES PRODUCTES, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,
"ALVAREZ GAMEZ, JOAQUIN",VP/P/3216/2019,,X,,,8917,BADALONA,BARCELONÈS,"Carxofa, HORTA, TOMÀQUET, MONGETA","HORTÍCOLES, LLEGUMINOSES",,Venda circuit curt,,,"BODEGA EL GRIAL, S.L."
"ALVAREZ GONZALEZ, AGUSTI",VP/P/0695/2013,,X,,,8696,POBLA DE LILLET,BERGUEDÀ,"ORDI, OLIVES, CARBASSÓ, HORTA","CEREALS, HORTÍCOLES, OLIVERAR",,Venda circuit curt,,,MAS VIDA
"ALVES PARDO, ELISABET",VP/P/1621/2014,,X,,,8292,ESPARREGUERA,BAIX LLOBREGAT,ALTRES FRUITERS DE LLAVOR,FRUITA DOLÇA,Venda directa,Venda circuit curt,,,
AMAFRUTA SAT,VP/P/2904/2018,X,,F25036997,Carre Calvari 11,25137,CORBINS,SEGRIÀ,"OLIVES, PRESSECS, NECTARINES, ALBERCOCS, PERES","FRUITA DOLÇA, OLIVERAR",Venda directa,,973234053,marianpauls@unfesa.com,CELLER BONANS
"AMARGANT SANCHEZ, MONTSERRAT",VP/P/2232/2016,,X,,,8358,ARENYS DE MUNT,MARESME,CIRERES,FRUITA DOLÇA,Venda directa,,,,
"AMAT BATALLA, DAVID",VP/P/2739/2017,,X,,,17813,VALL DE BIANYA,GARROTXA,"ORDI, HORTA","CEREALS, HORTÍCOLES",Venda directa,,,,BORDA DEL COLL
"AMAT PUJOL, SEBASTIAN",VP/P/2198/2016,,X,,,8302,MATARÓ,MARESME,HORTA,HORTÍCOLES,Venda directa,,,,CASA BETA
"AMBROS MUNNE, ALBERT",VP/P/2425/2016,,X,,,8279,MONISTROL DE CALDERS,BAGES,HORTA,HORTÍCOLES,Venda directa,,,,
"AMELL BERTRAN, MATILDE",VP/P/0071/2013,,X,,,8739,SUBIRATS,ALT PENEDÈS,"Olis, OLIVES, RAÏM","OLIVERAR, VINYA",Venda directa,,,,
AMPANS,VP/P/2542/2017,X,,G08444671,Calle CR SANT RAFAEL 4 4,8243,MANRESA,BAGES,"Formatges i altres derivats lactis de llet de cabra, Vins, caves i vinagres, CIVADA, OLIVES, RAÏM VI, AMETLLES","CEREALS, FRUITS DE CLOSCA, LLEGUMINOSES, OLIVERAR, VINYA",Venda directa,Venda circuit curt,938272300,cpadulles@ampans.cat,VILA CLOSA
"ANDREU CENTELLES, ERNEST",VP/P/1776/2015,,X,,,8980,SANT FELIU DE LLOBREGAT,BAIX LLOBREGAT,"PATATA, OLIVES, PRESSECS, PERES, POMES, PRUNES, SÍNDRIA, CEBES, CALÇOTS, PORROS I ALLS, CARXOFA, TOMÀQUET, CLEMENTINES, TARONGES","CÍTRICS, FRUITA DOLÇA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,BOUQUET D'ALELLA
"ANDREU GARCIA, JUAN JOSE",VP/P/1676/2014,,X,,,43500,TORTOSA,BAIX EBRE,"TARONGER, MANDARINER",CÍTRICS,Venda directa,,,,
"ANDREU SALIS, JOSEP",VP/P/1173/2013,,X,,,17256,PALS,BAIX EMPORDÀ,"Olis, FAVES I FAVONS , OLIVES, MELÓ, CEBES, CALÇOTS, PORROS I ALLS, COL I COLIFLOR, CARBASSÓ, CARXOFA, BLEDA, ENDÍVIA, ESCAROLA I XICOIRA, CARABASSA, TOMÀQUET, PÈSOLS , MONGETA , MONGETA , FAVES I FAVONS","HORTÍCOLES, LLEGUMINOSES, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
"ANDREU SOLÉ, ANDREU",VP/P/2302/2016,,X,,,25318,PUIGVERD D'AGRAMUNT,URGELL,"Carn, embotits i derivats carnis de boví, BLAT TOU, ORDI",CEREALS,,Venda circuit curt,,,"BRI, MIM"
"ANECS DE LA BARROCA, SC",VP/P/0047/2013,X,,J17825720,Carre Girona 12,17162,BESCANÓ,GIRONÈS,"Carn, embotits i derivats carnis d'ànec",NO ADMISSIBLES,Venda directa,Venda circuit curt,665287933,anecsdelabarroca@gmail.com,
"ANGELATS MARTINEZ, MIGUEL ANGEL",VP/P/1068/2013,,X,,,43591,ALDOVER,BAIX EBRE,"PATATA, OLIVES, ENCIAM, SÍNDRIA, CEBES, CALÇOTS, PORROS I ALLS, CARXOFA, PASTANAGA, ESPINACS, TOMÀQUET, TARONGES, MONGETA","CÍTRICS, HORTÍCOLES, LLEGUMINOSES, OLIVERAR",Venda directa,,,,
"ANGELET AGUSTÍ, JORGE",VP/P/0143/2013,,X,,,17257,CANET D'ADRI,BAIX EMPORDÀ,"PRESSEGUERS, NECTARINS",FRUITA DOLÇA,Venda directa,,,,CA DE MONROS
"ANGLERILL GINÉ, MARIÀ",VP/P/1139/2013,,X,,,8611,OLVAN,BERGUEDÀ,"Carn, embotits i derivats carnis de xai, BLAT TOU, ORDI, CIVADA","CEREALS, NO ADMISSIBLES",Venda directa,Venda circuit curt,,,FORMATGES MUNTANYOLA (AMPANS)
"ANGLES BORRAS, FRANCESC XAVIER",VP/P/0793/2013,,X,,,43382,MASPUJOLS,BAIX CAMP,"OLIVES, PRESSECS, GARROFES, AVELLANES","FRUITA DOLÇA, FRUITS DE CLOSCA, OLIVERAR",,Venda circuit curt,,,
"ANGLES SANAHUJA, JOSE",VP/P/2394/2016,,X,,,43400,MONTBLANC,CONCA DE BARBERÀ,"Olis, OLIVES, RAÏM VI, AMETLLES, CIRERES","FRUITA DOLÇA, FRUITS DE CLOSCA, OLIVERAR, VINYA",Venda directa,,,,CAL BLASIET
"ANGLES VIDIELLA, FRANCESC XAVIER",VP/P/2412/2016,,X,,,43382,MASPUJOLS,BAIX CAMP,"OLIVES, AMETLLES, PRESSECS, GARROFES, TOMÀQUET, LLIMONES, AVELLANES","CÍTRICS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, NO ADMISSIBLES, OLIVERAR",,Venda circuit curt,,,CAL BUSQUETS
"ANGUELA ROSELL, JUAN",VP/P/0377/2013,,X,,,8800,VILANOVA I LA GELTRÚ,GARRAF,"PEBROT, ENCIAM, COGOMBRE, CARABASSA, TOMÀQUET, MONGETA","HORTÍCOLES, LLEGUMINOSES, NO ADMISSIBLES",Venda directa,,,,CAL CABRERIC
"ANGUERA REÑE, PAU",VP/P/2663/2017,,X,,,25268,VALLBONA DE LES MONGES,URGELL,"Olis, BLAT TOU, OLIVES, AMETLLES","CEREALS, FRUITS DE CLOSCA, OLIVERAR",Venda directa,,,,
"ANGUERA TENA, MARIA ASUNCION",VP/P/1356/2014,,X,,,43739,PORRERA,PRIORAT,"Carn, embotits i derivats carnis de xai, Carn, embotits i derivats carnis de cabrum",,Venda directa,,,,CAL CARLOT
ANIMA ESSENCIES S.C.P.,VP/P/3393/2020,X,,J25860735,Lloc DISSEMINAT BÒIXOLS 11,25651,ABELLA DE LA CONCA,PALLARS JUSSÀ,"Altres productes elaborats, Mel","ALTRES PRODUCTES, NO ADMISSIBLES",Venda directa,Venda circuit curt,633106250,info@animaessencies.cat,CAL CIGARRO
ANIOL S L,VP/P/1479/2014,X,,B17148222,Pg de Barcelona (Oficina 15) 6,17800,OLOT,GARROTXA,"Carn, embotits i derivats carnis de xai, BLAT DE MORO, ORDI","CEREALS D'ESTIU, CEREALS",,Venda circuit curt,651029676,bernat@aniolsl.cat,
"ANTONI GALLART, JOSE",VP/P/2455/2016,,X,,,25560,SORT,PALLARS SOBIRÀ,"Carn, embotits i derivats carnis de poltre, Carn, embotits i derivats carnis de boví",,Venda directa,,,,CAL GINTÓ
"APICOLA ANLLUED, SCP",VP/P/2391/2016,X,,J55538854,C/ De Vinyols 13,43340,MONTBRIÓ DEL CAMP,BAIX CAMP,Mel,,Venda directa,Venda circuit curt,616561979,anllued@gmail.com,
"APÍCOLA GERMANS SANCHO, SL",VP/P/3206/2019,X,,B55570337,"C/ LLUIS COMPANYS, 1 -APTAT CORREUS 375-",43860,AMETLLA DE MAR,BAIX EBRE,"Mel, OLIVES, GARROFES","FRUITS DE CLOSCA, NO ADMISSIBLES, OLIVERAR",Venda directa,,609349593,melgermanssancho@gmail.com,
APRODISCA AMBIENTALS I ECOLOGICS EMPR. D'INSERCIO,VP/P/0534/2013,X,,B43969674,C/ Josep Maria Poblet 1,43400,MONTBLANC,CONCA DE BARBERÀ,HORTA,HORTÍCOLES,Venda directa,Venda circuit curt,977861261,agricultura.ecologica@aprodisca.org,CAL MAJUBA
"ARAGON TORRES, MANUEL",VP/P/1280/2013,,X,,,8254,GALLIFA,BAGES,"ORDI, CIVADA, GIRA-SOL, OLIVERES, AMETLLERS, PRESSEGUERS, PERERES, POMERES, CIRERERS, ALTRES FRUITERS DE LLAVOR","ALTRES FRUITS SECS, CEREALS, FRUITA DOLÇA, OLEAGINOSES, OLIVERAR",Venda directa,Venda circuit curt,,,
"ARAGONES MENCHERO, ANA",VP/P/3287/2019,,X,,,25199,LLEIDA,SEGRIÀ,"ORDI, CEBA, CALÇOT, PORRO I ALL","CEREALS, HORTÍCOLES",Venda directa,Venda circuit curt,,,
"ARAGONES MENCHERO, ANDREU",VP/P/1049/2013,,X,,,25192,LLEIDA,SEGRIÀ,"ORDI, PERES, POMES","CEREALS, FRUITA DOLÇA",Venda directa,Venda circuit curt,,,NIL EXPORT
"ARAGONES MIRO, JOSEP MARIA",VP/P/0282/2013,,X,,,25192,LLEIDA,SEGRIÀ,"ORDI, PERES","CEREALS, FRUITA DOLÇA",Venda directa,Venda circuit curt,,,
"ARAGÜES CARRERA, DAVID",VP/P/1141/2013,,X,,,8513,PRATS DE LLUÇANÈS,OSONA,"Carn, embotits i derivats carnis de xai",,,Venda circuit curt,,,CAL PUJOLET
"ARALL MAÑÉ, SALVADOR",VP/P/1343/2014,,X,,,43883,RODA DE BARÀ,TARRAGONÈS,CIVADA,CEREALS,Venda directa,,,,
"ARAN SALES, MONTSERRAT",VP/P/0930/2013,,X,,,25002,ALFARRÀS,SEGRIÀ,"Olis, OLIVERES",OLIVERAR,Venda directa,Venda circuit curt,,,CAL ROIO
ARBORETO SAT LTDA,VP/AP/0021/2013,X,,F43415132,INFORMÀTICA.  POLÍGON INDUSTRIAL  EL PRAT,43330,RIUDOMS,BAIX CAMP,"Altres productes elaborats, Olis, GARROFES, AVELLANES, AMETLLES",FRUITS DE CLOSCA,Venda directa,Venda circuit curt,977313262,jsans@crisolfs.com,CAL ROSSET
"ARCAS RODRIGUEZ, ALAN",VP/P/2236/2016,,X,,,8228,TERRASSA,VALLÈS OCCIDENTAL,"CIVADA, OLIVES, CIRERES, CEBA, CALÇOT, PORRO I ALL, TOMÀQUET","CEREALS, FRUITA DOLÇA, HORTÍCOLES, OLIVERAR",Venda directa,Venda circuit curt,,,LLET DE CAL SERRADOR
"ARDANUY FULLANA, MARIA AMPARO",VP/P/1728/2014,,X,,,17411,VIDRERES,LA SELVA,HORTA,HORTÍCOLES,Venda directa,,,,
"ARENAS ORTIZ, JORGE",VP/P/2828/2018,,X,,,8320,MASNOU,MARESME,HORTA,HORTÍCOLES,Venda directa,Venda circuit curt,,,
"ARES PUIGSASLLOSAS, PERE",VP/P/2134/2016,,X,,,8505,MUNTANYOLA,OSONA,"Carn, embotits i derivats carnis de xai, RAÏM VI",VINYA,,Venda circuit curt,,,
"ARESTE BAS, ANTONIO MIGUEL",VP/P/1218/2013,,X,,,25183,SERÒS,SEGRIÀ,"Mel, OLIVES, PRESSECS, NECTARINES, ALBERCOCS, PÈSOLS","FRUITA DOLÇA, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,,,
"ARIAS HOMS, ORIOL",VP/P/1913/2015,,X,,,8380,MALGRAT DE MAR,MARESME,"CIVADA, ALTRES FRUITES, CEBA, CALÇOT, PORRO I ALL, COL I COLIFLOR, ALBERGÍNIA, Carxofa, ESPINAC, CARABASSA, TOMÀQUET, FAVES I FAVONS","CEREALS, FRUITA DOLÇA, HORTÍCOLES, PROTEAGINOSES",Venda directa,,,,CIRERES DE CORBINS CAMATS CARPI
ARILFRUT SA,VP/AP/0047/2013,X,,A25005877,Polig Pol.indust. el Segre 308,25191,LLEIDA,SEGRIÀ,"PRESSECS, ALBERCOCS, NECTARINES, PERES, CODONY, PRUNES, POMES",FRUITA DOLÇA,,Venda circuit curt,616831401,manel@arilfrut.com,
"ARMADAS PARES, ROSER",VP/P/2943/2018,,X,,,17868,MOLLÓ,RIPOLLÈS,"Carn, embotits i derivats carnis de cabrum",,Venda directa,Venda circuit curt,,,CAN BALLERA
"ARNAU ALMEDA, GEMMA",VP/P/1636/2014,,X,,,17412,MAÇANET DE LA SELVA,LA SELVA,"Carn, embotits i derivats carnis de porcí",NO ADMISSIBLES,,Venda circuit curt,,,
"ARNAU OLIVERAS, MATEU",VP/P/2628/2017,,X,,,8296,CASTELLBELL I EL VILAR,BAGES,"ORDI, CIVADA, PATATA, AMETLLES, CIRERES, ENCIAMS, CEBA, CALÇOT, PORRO I ALL, CARABASSA, HORTA, TOMÀQUET, CIGRONS","CEREALS, FRUITA DOLÇA, FRUITS DE CLOSCA, HORTÍCOLES, LLEGUMINOSES",Venda directa,Venda circuit curt,,,
"ARPA EXPÓSITO, FRANCISCO",VP/P/2789/2018,,X,,,17476,GARRIGÀS,ALT EMPORDÀ,"POMES, NOUS","FRUITA DOLÇA, FRUITS DE CLOSCA",Venda directa,Venda circuit curt,,,
"ARROM SANGLAS, JOAN",VP/P/2850/2018,,X,,,8519,VILANOVA DE SAU,OSONA,"Carn, embotits i derivats carnis de cabrum, Carn, embotits i derivats carnis de xai, PATATA","HORTÍCOLES, NO ADMISSIBLES",,Venda circuit curt,,,CAN BURBO
ARROSSAIRES DEL DELTA DE L'EBRE,VP/AP/0083/2016,X,,F43065697,"Ctra CAMARLES A DELTEBRE KM 6,5",43580,DELTEBRE,BAIX EBRE,Altres productes elaborats,,Venda directa,Venda circuit curt,977487777,info@arrossaires.com,ESCLOVELLANA
"ARRUFI PEIG, FRANCESC",VP/P/2670/2017,,X,,,43786,BATEA,TERRA ALTA,"OLIVES, RAÏM VI, AMETLLES","FRUITS DE CLOSCA, OLIVERAR, VINYA",Venda directa,,,,
"ARTELLS FRANCO, JORDI",VP/P/0819/2013,,X,,,43400,MONTBLANC,CONCA DE BARBERÀ,"Carn, embotits i derivats carnis de pollastres/gallina, Ous de gallina, Mel, BLAT TOU, PATATA, OLIVES, AMETLLES, NOUS, CARABASSA, PÈSOLS","CEREALS, FRUITS DE CLOSCA, HORTÍCOLES, OLEAGINOSES, OLIVERAR, PROTEAGINOSES",Venda directa,Venda circuit curt,,,CAN FONT DE MUNTANYA
"ARTIGAS SANCHEZ, ORIOL",VP/P/0719/2013,,X,,,8339,BADIA DEL VALLÈS,MARESME,"Vins, caves i vinagres, FAVES, VINYES, ALTRES FRUITERS DE LLAVOR","FRUITA DOLÇA, PROTEAGINOSES, VINYA",Venda directa,,,,
